,Make,Model,Variant,Ex-Showroom_Price,City_Mileage,Cylinders,Highway_Mileage,Drivetrain,Emission_Norm,Fuel_Type,Body_Type,Kerb_Weight,Gears,Ground_Clearance,Power_Steering,Power,Doors,Type,Audiosystem,Aux-in_Compatibility,Boot_Space,Child_Safety_Locks,Number_of_Airbags
807,Bmw,Z4 Roadster,Sdrive 20I,6490000,17.5,4.0,8.4,RWD (Rear Wheel Drive),BS VI,Petrol,"Sports, Convertible",1495,8,215.0,Electric Power,197hp@4500-6500rpm,2.0,Automatic,CD Player with USB & Aux-in,Yes,281,Yes,4.0
808,Bmw,Z4 Roadster,M 40I,7890000,17.5,6.0,8.4,RWD (Rear Wheel Drive),BS VI,Petrol,"Sports, Convertible",1610,8,215.0,Electric Power,340hp@5000-6000rpm,2.0,Automatic,CD Player with USB & Aux-in,Yes,281,Yes,4.0
809,Bmw,Mercedes-Benz V-Class,Expression Elwb,6840000,17.5,4.0,8.4,RWD (Rear Wheel Drive),BS VI,Diesel,MUV,1610,7,215.0,Yes,163bhp@3800rpm,5.0,Automatic,CD Player with USB & Aux-in,Yes,281,Yes,6.0
810,Bmw,Mercedes-Benz V-Class,Exclusive Lwb,8190000,17.5,4.0,8.4,RWD (Rear Wheel Drive),BS VI,Diesel,MUV,1610,7,215.0,Yes,163bhp@3800rpm,5.0,Automatic,CD Player with USB & Aux-in,Yes,281,Yes,6.0
811,Bmw,Mercedes-Benz V-Class,Elite,11000000,17.5,4.0,8.4,RWD (Rear Wheel Drive),BS VI,Diesel,MPV,1610,9,215.0,Electro-Hydraulic,163PS@4200rpm,5.0,Automatic,DVD Player with USB & Aux-in,Yes,281,Yes,1.0
812,Audi,Q7,45 Tdi Premium Plus,7221500,9.3,6.0,12.6,AWD (All Wheel Drive),BS IV,Diesel,SUV,2330,8,200.0,Electric Power,249PS@4500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,295,Yes,8.0
813,Audi,Q7,45 Tdi Technology Pack,8021500,9.3,6.0,12.6,AWD (All Wheel Drive),BS IV,Diesel,SUV,2330,8,200.0,Electric Power,249PS@4500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,295,Yes,8.0
814,Audi,Q7,40 Tfsi Quattro Premium Plus,6921500,9.3,6.0,12.6,AWD (All Wheel Drive),BS IV,Petrol,SUV,2330,8,200.0,Electric Power,252PS@4500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,295,Yes,8.0
815,Audi,Q7,40 Tfsi Quattro Technology Pack,7621500,9.3,6.0,12.6,AWD (All Wheel Drive),BS IV,Petrol,SUV,2330,8,200.0,Electric Power,252PS@5000-6000rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,295,Yes,8.0
816,Audi,Q7,45 Tdi Black Styling,8111500,9.3,6.0,12.6,AWD (All Wheel Drive),BS IV,Diesel,SUV,2330,8,200.0,Electric Power,249PS@4500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,295,Yes,8.0
817,Audi,Q7,40 Tfsi Quattro Black Styling,7711500,9.3,6.0,12.6,AWD (All Wheel Drive),BS IV,Petrol,SUV,2330,8,200.0,Electric Power,252PS@5000-6000rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,295,Yes,8.0
818,Land Rover,Range Evoque Convertible,2.0 Hse Dynamic,6952964,15.68,4.0,12.6,4WD,BS IV,Petrol,Convertible,2013,9,200.0,Electric Power,240PS@5500rpm,5.0,Automatic,CD Player with USB & Aux-in,Yes,251,Yes,7.0
819,Land Rover,Range Velar,2.0 Diesel R-Dynamic S,7246802,15.68,4.0,15.7,4WD,BS IV,Diesel,SUV,2013,9,200.0,Electric Power,179PS@4000rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,251,Yes,6.0
820,Land Rover,Range Velar,2.0 Petrol R-Dynamic S,7246802,12.63,4.0,15.7,4WD,BS IV,Petrol,SUV,2013,9,200.0,Electric Power,250PS@5500RPM,5.0,Automatic,CD Player with USB & Aux-in,Yes,251,Yes,6.0
821,Land Rover,Mercedes-Benz E-Class All Terrain,E 220D,7500000,12.63,6.0,15.7,RWD (Rear Wheel Drive),BS VI,Diesel,SUV,2013,9,155.0,Electric Power,194hp@3800rpm,4.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,540,Yes,7.0
822,Volvo,Xc90,D5 Inscription,8790000,13.2,4.0,15.7,AWD (All Wheel Drive),BS IV,Diesel,SUV,2962,8,218.0,Electro-Hydraulic,225PS@4250RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,6.0
