,Make,Model,Variant,Ex-Showroom_Price,City_Mileage,Cylinders,Highway_Mileage,Drivetrain,Emission_Norm,Fuel_Type,Body_Type,Kerb_Weight,Gears,Ground_Clearance,Power_Steering,Power,Doors,Type,Audiosystem,Aux-in_Compatibility,Boot_Space,Child_Safety_Locks,Number_of_Airbags
871,Lamborghini,Huracan,Evo Rwd,32200000,5.6,10.0,6.0,RWD (Rear Wheel Drive),BS VI,Petrol,Coupe,1422,7,135.0,Electric Power,610PS@8000 rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
872,Ferrari,488 Gtb,Std,36761413,3.2,8.0,5.5,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1475,7,135.0,Electro-Hydraulic,670PS@8000rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,230,Yes,4.0
873,Ferrari,488 Gtb,Spider,39319552,3.2,8.0,5.5,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1475,7,135.0,Electro-Hydraulic,670PS@8000rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,230,Yes,4.0
874,Ferrari,Gtc4 Lusso,V8 T,42000000,3.2,8.0,5.5,RWD (Rear Wheel Drive),BS IV,Petrol,Coupe,1920,7,135.0,Electro-Hydraulic,610PS@7000rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,450,Yes,4.0
875,Ferrari,Gtc4 Lusso,V12,52000000,3.2,8.0,5.5,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1920,7,135.0,Electro-Hydraulic,681PS@8000rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,450,Yes,4.0
876,Lamborghini,Aventador,Lp 700-4,47893943,3.0,12.0,5.0,4WD,BS IV,Petrol,Convertible,1575,7,100.0,Electric Power,700PS@8250RPM,2.0,Automatic,DVD Player with USB & Aux-in,Yes,110,Yes,6.0
877,Lamborghini,Aventador,Lp700-4 Roadster,53210327,3.6,12.0,8.8,4WD,BS IV,Petrol,Convertible,1575,7,100.0,Electric Power,700PS@8250RPM,2.0,Automatic,DVD Player with USB & Aux-in,Yes,110,Yes,6.0
878,Lamborghini,Aventador,S,47467700,3.6,12.0,5.0,4WD,BS IV,Petrol,Coupe,1575,7,100.0,Hydraulic Power,740PS@8400rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,110,Yes,6.0
879,Lamborghini,Rolls-Royce Dawn,Convertible,59216193,7.9,12.0,7.9,RWD (Rear Wheel Drive),BS IV,Petrol,Convertible,2608,8,208.0,Electro-Hydraulic,571PS@6000RPM,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,460,Yes,8.0
880,Lamborghini,Rolls-Royce Drophead Coupe,Phantom,83755383,4.38,12.0,4.38,RWD (Rear Wheel Drive),BS IV,Petrol,Convertible,2649,8,164.0,Electro-Hydraulic,453PS@5350rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,460,Yes,6.0
